timestamp_ms,operation,latency_ms,hop_count,key,extra
1779294469342,PUT,114,4,benchKey_17_0,bytes=29;client_id=17;clients=20
1779294469342,PUT,112,4,benchKey_2_0,bytes=28;client_id=2;clients=20
1779294469346,PUT,98,4,benchKey_13_0,bytes=29;client_id=13;clients=20
1779294469348,PUT,120,4,benchKey_16_0,bytes=29;client_id=16;clients=20
1779294469353,PUT,125,4,benchKey_5_0,bytes=28;client_id=5;clients=20
1779294469354,PUT,126,4,benchKey_0_0,bytes=28;client_id=0;clients=20
1779294469353,PUT,125,4,benchKey_15_0,bytes=29;client_id=15;clients=20
1779294469355,PUT,127,4,benchKey_8_0,bytes=28;client_id=8;clients=20
1779294469355,PUT,127,4,benchKey_4_0,bytes=28;client_id=4;clients=20
1779294469355,PUT,126,4,benchKey_3_0,bytes=28;client_id=3;clients=20
1779294469354,PUT,126,4,benchKey_1_0,bytes=28;client_id=1;clients=20
1779294469357,PUT,129,4,benchKey_19_0,bytes=29;client_id=19;clients=20
1779294469354,PUT,126,4,benchKey_12_0,bytes=29;client_id=12;clients=20
1779294469358,PUT,130,4,benchKey_10_0,bytes=29;client_id=10;clients=20
1779294469359,PUT,131,4,benchKey_11_0,bytes=29;client_id=11;clients=20
1779294469358,PUT,130,4,benchKey_6_0,bytes=28;client_id=6;clients=20
1779294469359,PUT,131,4,benchKey_14_0,bytes=29;client_id=14;clients=20
1779294469361,PUT,132,4,benchKey_7_0,bytes=28;client_id=7;clients=20
1779294469362,PUT,133,4,benchKey_9_0,bytes=28;client_id=9;clients=20
1779294469359,PUT,130,4,benchKey_18_0,bytes=29;client_id=18;clients=20
1779294469406,PUT,48,4,benchKey_19_1,bytes=29;client_id=19;clients=20
1779294469416,PUT,56,4,benchKey_14_1,bytes=29;client_id=14;clients=20
1779294469442,PUT,95,4,benchKey_13_1,bytes=29;client_id=13;clients=20
1779294469448,PUT,102,4,benchKey_17_1,bytes=29;client_id=17;clients=20
1779294469451,PUT,91,4,benchKey_11_1,bytes=29;client_id=11;clients=20
1779294469453,PUT,106,4,benchKey_2_1,bytes=28;client_id=2;clients=20
1779294469455,PUT,97,4,benchKey_10_1,bytes=29;client_id=10;clients=20
1779294469459,PUT,96,4,benchKey_9_1,bytes=28;client_id=9;clients=20
1779294469463,PUT,105,4,benchKey_4_1,bytes=28;client_id=4;clients=20
1779294469462,PUT,108,4,benchKey_5_1,bytes=28;client_id=5;clients=20
1779294469465,PUT,104,4,benchKey_7_1,bytes=28;client_id=7;clients=20
1779294469468,PUT,112,4,benchKey_15_1,bytes=29;client_id=15;clients=20
1779294469469,PUT,111,4,benchKey_3_1,bytes=28;client_id=3;clients=20
1779294469470,PUT,110,4,benchKey_6_1,bytes=28;client_id=6;clients=20
1779294469471,PUT,123,4,benchKey_16_1,bytes=29;client_id=16;clients=20
1779294469469,PUT,106,4,benchKey_18_1,bytes=29;client_id=18;clients=20
1779294469472,PUT,113,4,benchKey_12_1,bytes=29;client_id=12;clients=20
1779294469472,PUT,116,4,benchKey_0_1,bytes=28;client_id=0;clients=20
1779294469474,PUT,117,4,benchKey_1_1,bytes=28;client_id=1;clients=20
1779294469474,PUT,117,4,benchKey_8_1,bytes=28;client_id=8;clients=20
1779294469504,PUT,97,4,benchKey_19_2,bytes=29;client_id=19;clients=20
1779294469506,PUT,88,4,benchKey_14_2,bytes=29;client_id=14;clients=20
1779294469509,PUT,57,4,benchKey_17_2,bytes=29;client_id=17;clients=20
1779294469518,PUT,45,4,benchKey_16_2,bytes=29;client_id=16;clients=20
1779294469519,PUT,46,4,benchKey_12_2,bytes=29;client_id=12;clients=20
