timestamp_ms,operation,latency_ms,hop_count,key,extra
1777330902504,JOIN,0,0,,node=127.0.0.1:8005
1777330902515,JOIN,0,0,,node=127.0.0.1:8004
1777330902518,JOIN,0,0,,node=127.0.0.1:8002
1777330902520,JOIN,0,0,,node=127.0.0.1:8001
1777330902538,JOIN,0,0,,node=127.0.0.1:8003
1777330902628,REBALANCE,113,0,,keys_moved=0
1777330902632,REBALANCE,117,0,,keys_moved=0
1777330902698,REBALANCE,180,0,,keys_moved=0
1777330902767,REBALANCE,246,0,,keys_moved=0
1777330902836,REBALANCE,298,0,,keys_moved=0
1777330905589,PUT,108,4,benchKey_46_0,bytes=29;client_id=46;clients=50
1777330905590,PUT,103,4,benchKey_43_0,bytes=29;client_id=43;clients=50
1777330905590,PUT,107,4,benchKey_4_0,bytes=28;client_id=4;clients=50
1777330905589,PUT,103,4,benchKey_27_0,bytes=29;client_id=27;clients=50
1777330905603,PUT,124,4,benchKey_29_0,bytes=29;client_id=29;clients=50
1777330905603,PUT,112,4,benchKey_13_0,bytes=29;client_id=13;clients=50
1777330905603,PUT,100,4,benchKey_45_0,bytes=29;client_id=45;clients=50
1777330905603,PUT,109,4,benchKey_17_0,bytes=29;client_id=17;clients=50
1777330905600,PUT,95,4,benchKey_37_0,bytes=29;client_id=37;clients=50
1777330905599,PUT,106,4,benchKey_40_0,bytes=29;client_id=40;clients=50
1777330905598,PUT,123,4,benchKey_5_0,bytes=28;client_id=5;clients=50
1777330905597,PUT,115,4,benchKey_34_0,bytes=29;client_id=34;clients=50
1777330905596,PUT,100,4,benchKey_36_0,bytes=29;client_id=36;clients=50
1777330905596,PUT,106,4,benchKey_39_0,bytes=29;client_id=39;clients=50
1777330905596,PUT,107,4,benchKey_6_0,bytes=28;client_id=6;clients=50
1777330905595,PUT,117,4,benchKey_24_0,bytes=29;client_id=24;clients=50
1777330905594,PUT,102,4,benchKey_23_0,bytes=29;client_id=23;clients=50
1777330905594,PUT,104,4,benchKey_16_0,bytes=29;client_id=16;clients=50
1777330905593,PUT,112,4,benchKey_48_0,bytes=29;client_id=48;clients=50
1777330905592,PUT,103,4,benchKey_49_0,bytes=29;client_id=49;clients=50
1777330905592,PUT,108,4,benchKey_12_0,bytes=29;client_id=12;clients=50
1777330905592,PUT,104,4,benchKey_28_0,bytes=29;client_id=28;clients=50
1777330905616,PUT,140,4,benchKey_2_0,bytes=28;client_id=2;clients=50
1777330905621,PUT,142,4,benchKey_33_0,bytes=29;client_id=33;clients=50
1777330905624,PUT,145,4,benchKey_32_0,bytes=29;client_id=32;clients=50
1777330905625,PUT,149,4,benchKey_3_0,bytes=28;client_id=3;clients=50
1777330905627,PUT,149,4,benchKey_18_0,bytes=29;client_id=18;clients=50
1777330905628,PUT,152,4,benchKey_1_0,bytes=28;client_id=1;clients=50
1777330905625,PUT,147,4,benchKey_22_0,bytes=29;client_id=22;clients=50
1777330905628,PUT,153,4,benchKey_0_0,bytes=28;client_id=0;clients=50
1777330905634,PUT,153,4,benchKey_26_0,bytes=29;client_id=26;clients=50
1777330905634,PUT,156,4,benchKey_20_0,bytes=29;client_id=20;clients=50
1777330905635,PUT,152,4,benchKey_7_0,bytes=28;client_id=7;clients=50
1777330905635,PUT,159,4,benchKey_14_0,bytes=29;client_id=14;clients=50
1777330905637,PUT,158,4,benchKey_25_0,bytes=29;client_id=25;clients=50
1777330905638,PUT,158,4,benchKey_44_0,bytes=29;client_id=44;clients=50
1777330905640,PUT,157,4,benchKey_30_0,bytes=29;client_id=30;clients=50
1777330905640,PUT,164,4,benchKey_9_0,bytes=28;client_id=9;clients=50
1777330905641,PUT,158,4,benchKey_35_0,bytes=29;client_id=35;clients=50
1777330905643,PUT,168,4,benchKey_8_0,bytes=28;client_id=8;clients=50
1777330905645,PUT,169,4,benchKey_15_0,bytes=29;client_id=15;clients=50
1777330905648,PUT,168,4,benchKey_41_0,bytes=29;client_id=41;clients=50
1777330905659,PUT,181,4,benchKey_38_0,bytes=29;client_id=38;clients=50
1777330905665,PUT,187,4,benchKey_21_0,bytes=29;client_id=21;clients=50
1777330905671,PUT,195,4,benchKey_10_0,bytes=29;client_id=10;clients=50
1777330905671,PUT,195,4,benchKey_11_0,bytes=29;client_id=11;clients=50
1777330905674,PUT,196,4,benchKey_19_0,bytes=29;client_id=19;clients=50
1777330905675,PUT,195,4,benchKey_42_0,bytes=29;client_id=42;clients=50
1777330905674,PUT,192,4,benchKey_31_0,bytes=29;client_id=31;clients=50
1777330905680,PUT,89,4,benchKey_46_1,bytes=29;client_id=46;clients=50
1777330905681,PUT,202,4,benchKey_47_0,bytes=29;client_id=47;clients=50
1777330905683,PUT,92,4,benchKey_43_1,bytes=29;client_id=43;clients=50
1777330905684,PUT,93,4,benchKey_4_1,bytes=28;client_id=4;clients=50
1777330905692,PUT,87,4,benchKey_36_1,bytes=29;client_id=36;clients=50
1777330905694,PUT,89,4,benchKey_34_1,bytes=29;client_id=34;clients=50
1777330905703,PUT,98,4,benchKey_5_1,bytes=28;client_id=5;clients=50
1777330905708,PUT,102,4,benchKey_39_1,bytes=29;client_id=39;clients=50
1777330905714,PUT,108,4,benchKey_6_1,bytes=28;client_id=6;clients=50
1777330905714,PUT,108,4,benchKey_24_1,bytes=29;client_id=24;clients=50
1777330905718,PUT,111,4,benchKey_16_1,bytes=29;client_id=16;clients=50
1777330905719,PUT,112,4,benchKey_49_1,bytes=29;client_id=49;clients=50
1777330905722,PUT,115,4,benchKey_23_1,bytes=29;client_id=23;clients=50
1777330905722,PUT,118,4,benchKey_17_1,bytes=29;client_id=17;clients=50
1777330905722,PUT,119,4,benchKey_29_1,bytes=29;client_id=29;clients=50
1777330905723,PUT,119,4,benchKey_13_1,bytes=29;client_id=13;clients=50
1777330905725,PUT,118,4,benchKey_12_1,bytes=29;client_id=12;clients=50
1777330905725,PUT,122,4,benchKey_27_1,bytes=29;client_id=27;clients=50
1777330905728,PUT,123,4,benchKey_40_1,bytes=29;client_id=40;clients=50
1777330905729,PUT,125,4,benchKey_45_1,bytes=29;client_id=45;clients=50
1777330905730,PUT,114,4,benchKey_2_1,bytes=28;client_id=2;clients=50
1777330905733,PUT,91,4,benchKey_35_1,bytes=29;client_id=35;clients=50
1777330905734,PUT,127,4,benchKey_48_1,bytes=29;client_id=48;clients=50
1777330905734,PUT,127,4,benchKey_28_1,bytes=29;client_id=28;clients=50
1777330905734,PUT,129,4,benchKey_37_1,bytes=29;client_id=37;clients=50
1777330905737,PUT,113,4,benchKey_33_1,bytes=29;client_id=33;clients=50
1777330905737,PUT,113,4,benchKey_32_1,bytes=29;client_id=32;clients=50
1777330905744,PUT,117,4,benchKey_3_1,bytes=28;client_id=3;clients=50
1777330905750,PUT,122,4,benchKey_18_1,bytes=29;client_id=18;clients=50
1777330905757,PUT,126,4,benchKey_0_1,bytes=28;client_id=0;clients=50
1777330905757,PUT,127,4,benchKey_1_1,bytes=28;client_id=1;clients=50
1777330905763,PUT,133,4,benchKey_22_1,bytes=29;client_id=22;clients=50
1777330905765,PUT,130,4,benchKey_7_1,bytes=28;client_id=7;clients=50
1777330905766,PUT,130,4,benchKey_14_1,bytes=29;client_id=14;clients=50
1777330905768,PUT,134,4,benchKey_26_1,bytes=29;client_id=26;clients=50
1777330905769,PUT,134,4,benchKey_20_1,bytes=29;client_id=20;clients=50
1777330905770,PUT,131,4,benchKey_44_1,bytes=29;client_id=44;clients=50
1777330905771,PUT,130,4,benchKey_30_1,bytes=29;client_id=30;clients=50
1777330905771,PUT,133,4,benchKey_25_1,bytes=29;client_id=25;clients=50
1777330905773,PUT,127,4,benchKey_15_1,bytes=29;client_id=15;clients=50
1777330905776,PUT,135,4,benchKey_9_1,bytes=28;client_id=9;clients=50
1777330905778,PUT,126,4,benchKey_41_1,bytes=29;client_id=41;clients=50
1777330905778,PUT,118,4,benchKey_38_1,bytes=29;client_id=38;clients=50
1777330905778,PUT,134,4,benchKey_8_1,bytes=28;client_id=8;clients=50
1777330905780,PUT,105,4,benchKey_11_1,bytes=29;client_id=11;clients=50
1777330905780,PUT,115,4,benchKey_21_1,bytes=29;client_id=21;clients=50
1777330905786,PUT,114,4,benchKey_10_1,bytes=29;client_id=10;clients=50
1777330905786,PUT,109,4,benchKey_19_1,bytes=29;client_id=19;clients=50
1777330905792,PUT,114,4,benchKey_42_1,bytes=29;client_id=42;clients=50
1777330905799,PUT,120,4,benchKey_31_1,bytes=29;client_id=31;clients=50
1777330905800,PUT,119,4,benchKey_46_2,bytes=29;client_id=46;clients=50
1777330905806,PUT,123,4,benchKey_47_1,bytes=29;client_id=47;clients=50
1777330905808,PUT,123,4,benchKey_4_2,bytes=28;client_id=4;clients=50
1777330905809,PUT,125,4,benchKey_43_2,bytes=29;client_id=43;clients=50
1777330905811,PUT,116,4,benchKey_34_2,bytes=29;client_id=34;clients=50
1777330905812,PUT,120,4,benchKey_36_2,bytes=29;client_id=36;clients=50
1777330905814,PUT,111,4,benchKey_5_2,bytes=28;client_id=5;clients=50
1777330905815,PUT,100,4,benchKey_6_2,bytes=28;client_id=6;clients=50
1777330905816,PUT,107,4,benchKey_39_2,bytes=29;client_id=39;clients=50
1777330905817,PUT,102,4,benchKey_24_2,bytes=29;client_id=24;clients=50
1777330905819,PUT,101,4,benchKey_16_2,bytes=29;client_id=16;clients=50
1777330905821,PUT,99,4,benchKey_23_2,bytes=29;client_id=23;clients=50
1777330905821,PUT,102,4,benchKey_49_2,bytes=29;client_id=49;clients=50
1777330905823,PUT,99,4,benchKey_29_2,bytes=29;client_id=29;clients=50
1777330905824,PUT,100,4,benchKey_13_2,bytes=29;client_id=13;clients=50
1777330905825,PUT,102,4,benchKey_17_2,bytes=29;client_id=17;clients=50
1777330905827,PUT,58,4,benchKey_20_2,bytes=29;client_id=20;clients=50
1777330905828,PUT,102,4,benchKey_27_2,bytes=29;client_id=27;clients=50
1777330905828,PUT,102,4,benchKey_12_2,bytes=29;client_id=12;clients=50
1777330905833,PUT,105,4,benchKey_40_2,bytes=29;client_id=40;clients=50
1777330905841,PUT,111,4,benchKey_45_2,bytes=29;client_id=45;clients=50
1777330905844,PUT,113,4,benchKey_2_2,bytes=28;client_id=2;clients=50
1777330905850,PUT,114,4,benchKey_48_2,bytes=29;client_id=48;clients=50
1777330905850,PUT,115,4,benchKey_28_2,bytes=29;client_id=28;clients=50
1777330905851,PUT,114,4,benchKey_37_2,bytes=29;client_id=37;clients=50
1777330905853,PUT,117,4,benchKey_35_2,bytes=29;client_id=35;clients=50
1777330905856,PUT,118,4,benchKey_32_2,bytes=29;client_id=32;clients=50
1777330905857,PUT,120,4,benchKey_33_2,bytes=29;client_id=33;clients=50
1777330905859,PUT,114,4,benchKey_3_2,bytes=28;client_id=3;clients=50
1777330905859,PUT,109,4,benchKey_18_2,bytes=29;client_id=18;clients=50
1777330905864,PUT,98,4,benchKey_7_2,bytes=28;client_id=7;clients=50
1777330905864,PUT,100,4,benchKey_22_2,bytes=29;client_id=22;clients=50
1777330905863,PUT,105,4,benchKey_0_2,bytes=28;client_id=0;clients=50
1777330905864,PUT,107,4,benchKey_1_2,bytes=28;client_id=1;clients=50
1777330905865,PUT,99,4,benchKey_14_2,bytes=29;client_id=14;clients=50
1777330905866,PUT,98,4,benchKey_26_2,bytes=29;client_id=26;clients=50
1777330905869,PUT,99,4,benchKey_44_2,bytes=29;client_id=44;clients=50
1777330905871,PUT,99,4,benchKey_25_2,bytes=29;client_id=25;clients=50
1777330905871,PUT,100,4,benchKey_30_2,bytes=29;client_id=30;clients=50
1777330905875,PUT,102,4,benchKey_15_2,bytes=29;client_id=15;clients=50
1777330905884,PUT,107,4,benchKey_9_2,bytes=28;client_id=9;clients=50
1777330905886,PUT,107,4,benchKey_41_2,bytes=29;client_id=41;clients=50
1777330905893,PUT,114,4,benchKey_38_2,bytes=29;client_id=38;clients=50
1777330905894,PUT,113,4,benchKey_11_2,bytes=29;client_id=11;clients=50
1777330905894,PUT,115,4,benchKey_8_2,bytes=28;client_id=8;clients=50
