timestamp_ms,operation,latency_ms,hop_count,key,extra
1777330550713,JOIN,0,0,,node=127.0.0.1:8001
1777330550722,JOIN,0,0,,node=127.0.0.1:8002
1777330550722,JOIN,0,0,,node=127.0.0.1:8003
1777330550725,JOIN,0,0,,node=127.0.0.1:8004
1777330550747,JOIN,0,0,,node=127.0.0.1:8005
1777330550878,REBALANCE,156,0,,keys_moved=0
1777330550878,REBALANCE,156,0,,keys_moved=0
1777330550878,REBALANCE,156,0,,keys_moved=0
1777330550934,REBALANCE,208,0,,keys_moved=0
1777330550986,REBALANCE,239,0,,keys_moved=0
1777330553759,PUT,91,4,benchKey_1_0,bytes=28;client_id=1;clients=10
1777330553759,PUT,91,4,benchKey_2_0,bytes=28;client_id=2;clients=10
1777330553760,PUT,91,4,benchKey_6_0,bytes=28;client_id=6;clients=10
1777330553760,PUT,91,4,benchKey_4_0,bytes=28;client_id=4;clients=10
1777330553759,PUT,90,4,benchKey_0_0,bytes=28;client_id=0;clients=10
1777330553759,PUT,90,4,benchKey_5_0,bytes=28;client_id=5;clients=10
1777330553759,PUT,93,4,benchKey_9_0,bytes=28;client_id=9;clients=10
1777330553759,PUT,90,4,benchKey_7_0,bytes=28;client_id=7;clients=10
1777330553759,PUT,91,4,benchKey_8_0,bytes=28;client_id=8;clients=10
1777330553759,PUT,90,4,benchKey_3_0,bytes=28;client_id=3;clients=10
1777330553847,PUT,86,4,benchKey_1_1,bytes=28;client_id=1;clients=10
1777330553847,PUT,86,4,benchKey_4_1,bytes=28;client_id=4;clients=10
1777330553847,PUT,87,4,benchKey_2_1,bytes=28;client_id=2;clients=10
1777330553849,PUT,88,4,benchKey_6_1,bytes=28;client_id=6;clients=10
1777330553850,PUT,89,4,benchKey_5_1,bytes=28;client_id=5;clients=10
1777330553850,PUT,88,4,benchKey_7_1,bytes=28;client_id=7;clients=10
1777330553850,PUT,88,4,benchKey_9_1,bytes=28;client_id=9;clients=10
1777330553852,PUT,92,4,benchKey_0_1,bytes=28;client_id=0;clients=10
1777330553854,PUT,91,4,benchKey_3_1,bytes=28;client_id=3;clients=10
1777330553854,PUT,92,4,benchKey_8_1,bytes=28;client_id=8;clients=10
1777330553933,PUT,85,4,benchKey_2_2,bytes=28;client_id=2;clients=10
1777330553935,PUT,85,4,benchKey_6_2,bytes=28;client_id=6;clients=10
1777330553936,PUT,85,4,benchKey_9_2,bytes=28;client_id=9;clients=10
1777330553937,PUT,87,4,benchKey_7_2,bytes=28;client_id=7;clients=10
1777330553933,PUT,86,4,benchKey_1_2,bytes=28;client_id=1;clients=10
1777330553937,PUT,89,4,benchKey_4_2,bytes=28;client_id=4;clients=10
1777330553939,PUT,84,4,benchKey_3_2,bytes=28;client_id=3;clients=10
1777330553942,PUT,91,4,benchKey_5_2,bytes=28;client_id=5;clients=10
1777330553943,PUT,88,4,benchKey_8_2,bytes=28;client_id=8;clients=10
