ts_ms,op,lat_ms,hops,k,ext
1777900438586,CHAIN_CONV,103,2,conv,size=2
1777900444909,CHAIN_CONV,151,4,conv,size=4
1777900453256,CHAIN_CONV,138,6,conv,size=6
1777900462800,CHAIN_CONV,280,8,conv,size=8
1777900474750,CHAIN_CONV,491,10,conv,size=10
1777900487653,CHAIN_CONV,277,12,conv,size=12
1777900501873,CHAIN_CONV,601,14,conv,size=14
1777900518049,CHAIN_CONV,337,16,conv,size=16
1777900535788,CHAIN_CONV,846,18,conv,size=18
1777900555433,CHAIN_CONV,682,20,conv,size=20
1777900576564,CHAIN_CONV,885,22,conv,size=22
1777900598912,CHAIN_CONV,933,24,conv,size=24
1777900624520,CHAIN_CONV,1816,26,conv,size=26
1777900651167,CHAIN_CONV,2108,28,conv,size=28
1777900683605,CHAIN_CONV,2400,30,conv,size=30
