ts_ms,op,lat_ms,hops,k,ext
1777907022642,GET,75,4,k1,reqs=10
1777907022711,GET,145,2,k8,reqs=10
1777907022699,GET,135,3,k4,reqs=10
1777907022684,GET,114,2,k5,reqs=10
1777907022680,GET,116,4,k6,reqs=10
1777907022671,GET,106,2,k0,reqs=10
1777907022662,GET,95,3,k9,reqs=10
1777907022657,GET,92,4,k3,reqs=10
1777907022657,GET,93,3,k7,reqs=10
1777907022649,GET,83,4,k2,reqs=10
1777907023614,GET,71,2,k4,reqs=10
1777907023631,GET,90,2,k6,reqs=10
1777907023631,GET,86,3,k3,reqs=10
1777907023628,GET,87,4,k0,reqs=10
1777907023618,GET,75,2,k1,reqs=10
1777907023616,GET,73,4,k2,reqs=10
1777907023636,GET,92,4,k5,reqs=10
1777907023643,GET,97,3,k9,reqs=10
1777907023644,GET,99,2,k8,reqs=10
1777907023656,GET,112,4,k7,reqs=10
1777907024500,GET,53,4,k9,reqs=10
1777907024516,GET,74,3,k3,reqs=10
1777907024513,GET,70,3,k0,reqs=10
1777907024507,GET,63,4,k5,reqs=10
1777907024505,GET,60,2,k1,reqs=10
1777907024524,GET,79,3,k8,reqs=10
1777907024529,GET,86,3,k2,reqs=10
1777907024530,GET,87,2,k6,reqs=10
1777907024545,GET,102,2,k7,reqs=10
1777907024545,GET,101,3,k4,reqs=10
1777907025411,GET,59,4,k2,reqs=10
1777907025426,GET,73,2,k6,reqs=10
1777907025417,GET,60,4,k8,reqs=10
1777907025413,GET,58,3,k7,reqs=10
1777907025433,GET,81,4,k3,reqs=10
1777907025438,GET,85,3,k0,reqs=10
1777907025441,GET,89,4,k1,reqs=10
1777907025441,GET,81,4,k9,reqs=10
1777907025446,GET,93,3,k5,reqs=10
1777907025451,GET,98,3,k4,reqs=10
1777907026296,GET,60,2,k2,reqs=10
1777907026311,GET,72,3,k8,reqs=10
1777907026309,GET,72,4,k7,reqs=10
1777907026300,GET,63,4,k3,reqs=10
1777907026317,GET,81,4,k5,reqs=10
1777907026319,GET,83,3,k6,reqs=10
1777907026321,GET,85,4,k0,reqs=10
1777907026321,GET,80,4,k9,reqs=10
1777907026330,GET,94,2,k4,reqs=10
1777907026339,GET,102,3,k1,reqs=10
1777907027198,GET,70,4,k3,reqs=25
1777907027249,GET,108,3,k14,reqs=25
1777907027242,GET,104,2,k13,reqs=25
1777907027241,GET,104,2,k12,reqs=25
1777907027255,GET,108,3,k16,reqs=25
1777907027240,GET,111,3,k7,reqs=25
1777907027240,GET,107,4,k11,reqs=25
1777907027238,GET,108,2,k9,reqs=25
1777907027236,GET,84,2,k19,reqs=25
1777907027230,GET,99,3,k10,reqs=25
1777907027228,GET,101,3,k0,reqs=25
1777907027228,GET,73,4,k20,reqs=25
1777907027228,GET,102,3,k8,reqs=25
1777907027228,GET,101,4,k5,reqs=25
1777907027225,GET,82,2,k15,reqs=25
1777907027223,GET,73,4,k18,reqs=25
1777907027221,GET,64,3,k21,reqs=25
1777907027220,GET,51,4,k24,reqs=25
1777907027218,GET,70,2,k17,reqs=25
1777907027207,GET,42,2,k23,reqs=25
1777907027207,GET,77,3,k6,reqs=25
1777907027259,GET,129,3,k2,reqs=25
1777907027255,GET,126,3,k4,reqs=25
1777907027264,GET,103,2,k22,reqs=25
1777907027266,GET,138,4,k1,reqs=25
1777907028147,GET,57,4,k20,reqs=25
1777907028162,GET,92,2,k12,reqs=25
1777907028159,GET,70,3,k19,reqs=25
1777907028159,GET,86,3,k14,reqs=25
1777907028158,GET,97,3,k1,reqs=25
1777907028157,GET,71,4,k18,reqs=25
1777907028156,GET,95,3,k2,reqs=25
1777907028155,GET,95,4,k7,reqs=25
1777907028152,GET,92,3,k3,reqs=25
1777907028152,GET,84,3,k11,reqs=25
1777907028152,GET,91,3,k5,reqs=25
1777907028151,GET,90,3,k6,reqs=25
1777907028149,GET,68,2,k17,reqs=25
1777907028148,GET,87,2,k8,reqs=25
1777907028148,GET,84,3,k10,reqs=25
1777907028147,GET,56,4,k21,reqs=25
1777907028168,GET,76,3,k22,reqs=25
1777907028169,GET,107,2,k9,reqs=25
1777907028169,GET,71,4,k24,reqs=25
1777907028170,GET,99,4,k13,reqs=25
1777907028170,GET,92,3,k16,reqs=25
1777907028182,GET,106,3,k15,reqs=25
1777907028185,GET,125,2,k0,reqs=25
1777907028190,GET,130,2,k4,reqs=25
1777907028195,GET,96,2,k23,reqs=25
1777907029058,GET,68,3,k6,reqs=25
1777907029076,GET,66,4,k16,reqs=25
1777907029076,GET,55,2,k21,reqs=25
1777907029074,GET,62,4,k17,reqs=25
1777907029072,GET,76,2,k10,reqs=25
1777907029065,GET,71,4,k9,reqs=25
1777907029065,GET,77,4,k7,reqs=25
1777907029085,GET,65,3,k20,reqs=25
1777907029087,GET,64,2,k22,reqs=25
1777907029087,GET,56,3,k24,reqs=25
1777907029094,GET,105,2,k1,reqs=25
1777907029094,GET,96,3,k11,reqs=25
1777907029094,GET,76,4,k19,reqs=25
1777907029097,GET,81,4,k18,reqs=25
1777907029099,GET,93,2,k14,reqs=25
1777907029100,GET,111,4,k2,reqs=25
1777907029102,GET,114,2,k4,reqs=25
1777907029103,GET,103,3,k12,reqs=25
1777907029111,GET,82,2,k23,reqs=25
1777907029113,GET,124,3,k0,reqs=25
1777907029114,GET,124,4,k8,reqs=25
1777907029114,GET,107,2,k15,reqs=25
1777907029115,GET,128,2,k5,reqs=25
1777907029117,GET,113,3,k13,reqs=25
1777907029123,GET,135,2,k3,reqs=25
1777907029992,GET,65,4,k10,reqs=25
1777907030009,GET,78,3,k12,reqs=25
1777907030006,GET,83,2,k9,reqs=25
1777907030005,GET,83,2,k2,reqs=25
1777907030003,GET,75,4,k11,reqs=25
1777907030001,GET,79,3,k5,reqs=25
1777907029992,GET,50,4,k17,reqs=25
1777907030014,GET,53,2,k24,reqs=25
1777907030015,GET,92,3,k6,reqs=25
1777907030018,GET,85,3,k13,reqs=25
1777907030020,GET,100,2,k7,reqs=25
1777907030021,GET,100,2,k3,reqs=25
1777907030021,GET,82,2,k15,reqs=25
1777907030022,GET,101,4,k0,reqs=25
1777907030024,GET,71,3,k22,reqs=25
1777907030027,GET,106,2,k4,reqs=25
1777907030027,GET,91,4,k14,reqs=25
1777907030031,GET,86,2,k18,reqs=25
1777907030031,GET,73,4,k23,reqs=25
1777907030033,GET,93,3,k16,reqs=25
1777907030035,GET,113,3,k8,reqs=25
1777907030036,GET,85,2,k21,reqs=25
1777907030037,GET,115,2,k1,reqs=25
1777907030042,GET,93,4,k20,reqs=25
1777907030046,GET,100,2,k19,reqs=25
1777907030918,GET,35,4,k21,reqs=25
1777907030946,GET,54,4,k24,reqs=25
1777907030946,GET,94,3,k2,reqs=25
1777907030944,GET,91,3,k6,reqs=25
1777907030944,GET,91,2,k5,reqs=25
1777907030942,GET,79,2,k13,reqs=25
1777907030938,GET,85,2,k1,reqs=25
1777907030936,GET,86,4,k4,reqs=25
1777907030922,GET,33,2,k23,reqs=25
1777907030922,GET,69,4,k8,reqs=25
1777907030946,GET,70,4,k18,reqs=25
1777907030951,GET,89,4,k12,reqs=25
1777907030954,GET,98,2,k10,reqs=25
1777907030954,GET,76,4,k19,reqs=25
1777907030957,GET,77,4,k20,reqs=25
1777907030961,GET,102,4,k11,reqs=25
1777907030961,GET,91,4,k16,reqs=25
1777907030961,GET,105,2,k0,reqs=25
1777907030967,GET,116,4,k3,reqs=25
1777907030971,GET,105,2,k14,reqs=25
1777907030971,GET,103,2,k15,reqs=25
1777907030980,GET,126,3,k9,reqs=25
1777907030983,GET,98,2,k22,reqs=25
1777907030985,GET,110,2,k17,reqs=25
1777907030995,GET,142,4,k7,reqs=25
1777907031913,GET,70,3,k32,reqs=50
1777907031974,GET,127,3,k33,reqs=50
1777907031974,GET,124,3,k35,reqs=50
1777907031974,GET,184,3,k9,reqs=50
1777907031968,GET,105,3,k41,reqs=50
1777907031968,GET,168,4,k14,reqs=50
1777907031966,GET,94,2,k45,reqs=50
1777907031966,GET,106,3,k40,reqs=50
1777907031962,GET,139,2,k23,reqs=50
1777907031962,GET,176,2,k1,reqs=50
1777907031961,GET,174,3,k4,reqs=50
1777907031961,GET,174,4,k5,reqs=50
1777907031961,GET,130,3,k27,reqs=50
1777907031961,GET,104,4,k38,reqs=50
1777907031961,GET,120,3,k31,reqs=50
1777907031961,GET,78,4,k49,reqs=50
1777907031958,GET,165,3,k11,reqs=50
1777907031958,GET,125,4,k28,reqs=50
1777907031958,GET,171,2,k6,reqs=50
1777907031958,GET,123,4,k29,reqs=50
1777907031952,GET,78,3,k46,reqs=50
1777907031952,GET,165,2,k3,reqs=50
1777907031950,GET,160,4,k10,reqs=50
1777907031950,GET,98,3,k36,reqs=50
1777907031949,GET,96,2,k37,reqs=50
1777907031948,GET,160,2,k8,reqs=50
1777907031948,GET,153,3,k12,reqs=50
1777907031946,GET,121,4,k25,reqs=50
1777907031946,GET,158,3,k0,reqs=50
1777907031946,GET,118,2,k26,reqs=50
1777907031946,GET,87,4,k39,reqs=50
1777907031946,GET,160,4,k7,reqs=50
1777907031945,GET,64,4,k48,reqs=50
1777907031945,GET,76,3,k44,reqs=50
1777907031945,GET,148,2,k13,reqs=50
1777907031944,GET,75,4,k43,reqs=50
1777907031942,GET,133,3,k18,reqs=50
1777907031942,GET,138,2,k16,reqs=50
1777907031941,GET,125,3,k21,reqs=50
1777907031940,GET,93,4,k34,reqs=50
1777907031940,GET,74,4,k42,reqs=50
1777907031939,GET,133,3,k17,reqs=50
1777907031938,GET,115,3,k24,reqs=50
1777907031934,GET,120,3,k20,reqs=50
1777907031931,GET,93,3,k30,reqs=50
1777907031930,GET,128,4,k15,reqs=50
1777907031929,GET,118,3,k19,reqs=50
1777907031929,GET,51,4,k47,reqs=50
1777907031920,GET,132,4,k2,reqs=50
1777907031914,GET,95,3,k22,reqs=50
1777907032867,GET,26,4,k27,reqs=50
1777907032931,GET,60,3,k39,reqs=50
1777907032931,GET,136,2,k0,reqs=50
1777907032930,GET,66,4,k35,reqs=50
1777907032927,GET,66,2,k34,reqs=50
1777907032927,GET,67,2,k33,reqs=50
1777907032926,GET,70,2,k31,reqs=50
1777907032926,GET,41,2,k46,reqs=50
1777907032923,GET,117,4,k13,reqs=50
1777907032923,GET,54,3,k38,reqs=50
1777907032923,GET,126,3,k9,reqs=50
1777907032920,GET,42,4,k42,reqs=50
1777907032920,GET,36,3,k45,reqs=50
1777907032920,GET,85,4,k24,reqs=50
1777907032917,GET,109,2,k14,reqs=50
1777907032917,GET,59,3,k32,reqs=50
1777907032917,GET,84,4,k23,reqs=50
1777907032916,GET,121,3,k1,reqs=50
1777907032916,GET,49,3,k37,reqs=50
1777907032915,GET,116,2,k10,reqs=50
1777907032915,GET,27,2,k48,reqs=50
1777907032913,GET,69,2,k29,reqs=50
1777907032913,GET,90,3,k20,reqs=50
1777907032913,GET,119,3,k5,reqs=50
1777907032912,GET,102,3,k15,reqs=50
1777907032909,GET,113,4,k2,reqs=50
1777907032906,GET,91,4,k16,reqs=50
1777907032906,GET,70,2,k25,reqs=50
1777907032905,GET,35,2,k40,reqs=50
1777907032905,GET,33,2,k41,reqs=50
1777907032903,GET,86,4,k18,reqs=50
1777907032902,GET,61,3,k28,reqs=50
1777907032899,GET,84,3,k17,reqs=50
1777907032899,GET,52,4,k30,reqs=50
1777907032899,GET,61,4,k26,reqs=50
1777907032897,GET,95,4,k11,reqs=50
1777907032896,GET,71,3,k21,reqs=50
1777907032896,GET,31,2,k36,reqs=50
1777907032892,GET,72,3,k19,reqs=50
1777907032889,GET,94,3,k4,reqs=50
1777907032888,GET,95,2,k6,reqs=50
1777907032888,GET,84,2,k12,reqs=50
1777907032887,GET,60,2,k22,reqs=50
1777907032886,GET,91,2,k7,reqs=50
1777907032881,GET,87,2,k3,reqs=50
1777907032881,GET,86,2,k8,reqs=50
1777907032939,GET,57,3,k44,reqs=50
1777907032945,GET,51,4,k49,reqs=50
1777907032949,GET,68,3,k43,reqs=50
1777907032952,GET,67,2,k47,reqs=50
1777907033840,GET,25,2,k28,reqs=50
1777907033889,GET,63,3,k33,reqs=50
1777907033889,GET,26,3,k48,reqs=50
1777907033887,GET,65,2,k31,reqs=50
1777907033887,GET,22,4,k49,reqs=50
1777907033886,GET,90,3,k21,reqs=50
1777907033885,GET,29,4,k45,reqs=50
1777907033885,GET,33,2,k43,reqs=50
1777907033885,GET,43,3,k40,reqs=50
1777907033885,GET,70,2,k29,reqs=50
1777907033885,GET,82,4,k23,reqs=50
1777907033884,GET,124,2,k4,reqs=50
1777907033884,GET,123,2,k1,reqs=50
1777907033878,GET,60,3,k30,reqs=50
1777907033878,GET,99,4,k14,reqs=50
1777907033875,GET,81,4,k20,reqs=50
1777907033875,GET,36,3,k39,reqs=50
1777907033875,GET,43,2,k36,reqs=50
1777907033873,GET,82,4,k19,reqs=50
1777907033873,GET,113,3,k5,reqs=50
1777907033873,GET,49,4,k32,reqs=50
1777907033871,GET,109,2,k0,reqs=50
1777907033870,GET,100,2,k9,reqs=50
1777907033870,GET,80,3,k18,reqs=50
1777907033870,GET,84,3,k16,reqs=50
1777907033869,GET,33,4,k38,reqs=50
1777907033869,GET,35,2,k37,reqs=50
1777907033869,GET,95,4,k12,reqs=50
1777907033868,GET,58,2,k27,reqs=50
1777907033868,GET,40,4,k34,reqs=50
1777907033864,GET,94,4,k10,reqs=50
1777907033861,GET,101,4,k3,reqs=50
1777907033859,GET,95,3,k8,reqs=50
1777907033858,GET,96,3,k7,reqs=50
